taxon_id	Domain	Status	Study	Genome_Name	Sequencing_Center	IMG_ID	Phylum	Class	Order	Family	Genus	Species	taxid	Strain	Genome_Size	Gene_Count	score2
t644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Thermococcus gammatolerans EJ3	CEA Genoscope	644736411	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	593117	EJ3	2045438	2206	NA
t643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.S.2.15	DOE Joint Genome Institute (JGI)	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	429572	L.S.2.15	2736272	3068	NA
t649633067	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanothermus fervidus V24S, DSM 2088	DOE Joint Genome Institute (JGI)	649633067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	523846	V24S, DSM 2088	1243342	1352	NA
t650716053	Archaea	Finished	Genome sequencing and comparison of novel methanogens from peatlands and bioreactors	Methanobacterium paludis SWAN-1	DOE Joint Genome Institute (JGI)	650716053	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis	868131	SWAN-1	2546541	2500	NA
t650377982	Archaea	Finished	Sulfolobus islandicus REY15A	Sulfolobus islandicus REY15A	Chinese Academy of Sciences	650377982	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	930945	REY15A	2522992	2753	NA
t637000187	Archaea	Finished	Natronomonas pharaonis Gabara, DSM 2160	Natronomonas pharaonis Gabara, DSM 2160	Max Planck Institute	637000187	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis	348780	Gabara, DSM 2160	2749696	2895	NA
t643692049	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus Y.N.15.51	DOE Joint Genome Institute (JGI)	643692049	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	419942	Y.N.15.51	2854410	3318	NA
t646564534	Archaea	Finished	Comparative genomics of the Archaea	Ferroglobus placidus AEDII12DO, DSM 10642	DOE Joint Genome Institute (JGI)	646564534	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	589924	AEDII12DO, DSM 10642	2196266	2622	NA
t649633040	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Desulfurococcus mucosus 07/1, DSM 2162	DOE Joint Genome Institute (JGI)	649633040	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	765177	07/1, DSM 2162	1314639	1421	NA
t649989953	Archaea	Permanent Draft	Haladaptatus paucihalophilus DX253	Haladaptatus paucihalophilus DX253	Oklahoma State University	649989953	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haladaptatus	Haladaptatus paucihalophilus	797209	DX253	4284805	4496	NA
